ID;Grupo
2;Grupo Analista de Planejamento
4;Grupo Gerente de Análise de Investimentos
5;Grupo Comitê de Investimentos
6;Grupo Analista de Finanças
7;Grupo Gerente Finanças
8;Grupo Diretor de Finanças
9;Grupo Analista de Finanças B2B
10;Grupo Gerente Finanças B2B
11;Grupo Comitê B2B
