ID;Grupo
7;Grupo Planner
8;Grupo Planner
9;Grupo Planner
10;Grupo Planner
11;Grupo Planejamento
18;Grupo Engenharia
19;Grupo Analista de Planejamento
20;Grupo Analista de Planejamento
23;Grupo Check Pipeline
24;Grupo Ativo
25;Grupo Ativo
26;Grupo Liberação de Obra
27;Grupo Analista de Planejamento
28;Grupo Analista de Planejamento
